ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction,implied_vol
SPY,2026-03-17,673.0,1.5,1.53,1.515,1.55,5142.0,1765.0,662.2899780273438,0.0027397260273972,0.9840861486290398,-0.0160418363423545,0.0523423922590207,0.0026961264346,0.3723608669536113
SPY,2026-03-17,674.0,1.25,1.29,1.27,1.27,3851.0,832.0,662.2899780273438,0.0027397260273972,0.9826260801592636,-0.0175266176099338,0.0523423922590207,0.0026921262470116,0.36680208003014336
SPY,2026-03-17,675.0,1.05,1.08,1.065,1.06,12259.0,3121.0,662.2899780273438,0.0027397260273972,0.981170337818287,-0.0190091975701566,0.0523423922590207,0.0026881379118308,0.3626591413667201
SPY,2026-03-17,676.0,0.87,0.9,0.885,0.88,3727.0,1227.0,662.2899780273438,0.0027397260273972,0.9797189024073132,-0.0204895827405909,0.0523423922590207,0.0026841613764583,0.3585700256795883
SPY,2026-03-17,677.0,0.71,0.74,0.725,0.75,3610.0,1105.0,662.2899780273438,0.0027397260273972,0.9782717548409804,-0.0219677796099017,0.0523423922590207,0.0026801965886053,0.3540449617658853
SPY,2026-03-17,678.0,0.58,0.6,0.59,0.6,3373.0,1139.0,662.2899780273438,0.0027397260273972,0.9768288761465248,-0.0234437946380223,0.0523423922590207,0.0026762434962917,0.34998552918195724
SPY,2026-03-17,679.0,0.47,0.49,0.48,0.51,2742.0,1060.0,662.2899780273438,0.0027397260273972,0.975390247462951,-0.0249176342563229,0.0523423922590207,0.0026723020478436,0.34689240677702426
SPY,2026-03-17,680.0,0.38,0.4,0.39,0.4,8772.0,2608.0,662.2899780273438,0.0027397260273972,0.9739558500402112,-0.0263893048677791,0.0523423922590207,0.0026683721918909,0.34450559917724133
SPY,2026-03-17,681.0,0.3,0.32,0.31,0.32,2200.0,1108.0,662.2899780273438,0.0027397260273972,0.9725256652383902,-0.0278588128471391,0.0523423922590207,0.0026644538773653,0.34116821701943867
SPY,2026-03-17,682.0,0.25,0.26,0.255,0.26,4019.0,1563.0,662.2899780273438,0.0027397260273972,0.9710996745268968,-0.0293261645410889,0.0523423922590207,0.0026605470534982,0.34098833026146885
