ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction,implied_vol,relative_spread,wide_spread_flag,short_maturity_flag,wing_flag,implied_vol_raw,weight
SPY,2026-03-18,630.0,32.65,33.1,32.875,33.37,50.0,3.0,662.2899780273438,0.0054794520547945,1.051253933376736,0.0499836739167948,0.0740233210197603,0.0057602955253519,0.4217943202481269,0.013688212927756741,0,1,0,0.4217943202481269,0.9426350640736401
SPY,2026-03-18,645.0,19.38,19.75,19.564999999999998,20.14,3.0,10.0,662.2899780273438,0.0054794520547945,1.026806167484254,0.0264531765066007,0.0740233210197603,0.0056263351642972,0.4156711073291004,0.018911321236902687,0,1,0,0.4156711073291004,0.9601316024175868
SPY,2026-03-18,650.0,15.44,15.74,15.59,15.71,24.0,20.0,662.2899780273438,0.0054794520547945,1.018907658503606,0.0187311304126905,0.0740233210197603,0.0055830556630334,0.4062968793537617,0.019243104554201456,0,1,0,0.4062968793537617,0.9672595188734654
SPY,2026-03-18,655.0,11.85,12.13,11.99,12.32,574.0,534.0,662.2899780273438,0.0054794520547945,1.0111297374463264,0.0110682576671213,0.0740233210197603,0.005540436917514,0.3969560001660586,0.023352793994995923,0,1,0,0.3969560001660586,0.970785672449767
SPY,2026-03-18,657.0,10.61,10.71,10.66,10.65,188.0,15.0,662.2899780273438,0.0054794520547945,1.0080517169365963,0.0080194748177627,0.0740233210197603,0.0055235710517073,0.392588918310672,0.009380863039399757,0,1,0,0.392588918310672,0.9872286278634531
SPY,2026-03-18,658.0,9.95,10.05,10.0,9.98,456.0,25.0,662.2899780273438,0.0054794520547945,1.0065197234458112,0.006498561977056,0.0740233210197603,0.0055151765668263,0.3891896665522158,0.010000000000000142,0,1,0,0.3891896665522158,0.9881251598803282
SPY,2026-03-18,659.0,9.33,9.42,9.375,9.39,434.0,44.0,662.2899780273438,0.0054794520547945,1.0049923794041635,0.004979958799866,0.0740233210197603,0.0055068075583789,0.3866296777147651,0.009599999999999985,0,1,0,0.3866296777147651,0.9900189565652228
SPY,2026-03-18,660.0,8.73,8.77,8.75,8.76,739.0,168.0,662.2899780273438,0.0054794520547945,1.0034696636777936,0.003463658281902,0.0740233210197603,0.0054984639105632,0.3830443701196611,0.004571428571428474,0,1,0,0.3830443701196611,0.9964845078671167
SPY,2026-03-18,661.0,8.13,8.18,8.155000000000001,8.15,384.0,222.0,662.2899780273438,0.0054794520547945,1.001951555260732,0.0019496534506869,0.0740233210197603,0.0054901455082779,0.379966357487142,0.006131207847945914,0,1,0,0.379966357487142,0.9964471679900396
SPY,2026-03-18,662.0,7.56,7.6,7.58,7.58,1062.0,106.0,662.2899780273438,0.0054794520547945,1.000438033273933,0.0004379373653649,0.0740233210197603,0.0054818522371174,0.3768459659663141,0.0052770448548812715,0,1,0,0.3768459659663141,0.9988025936676448
SPY,2026-03-18,663.0,7.0,7.04,7.02,7.02,1259.0,199.0,662.2899780273438,0.0054794520547945,0.9989290769643194,-0.0010714968834892,0.0740233210197603,0.0054735839833661,0.373400669635117,0.0056980056980057035,0,1,0,0.373400669635117,0.9977521833945864
SPY,2026-03-18,664.0,6.46,6.5,6.48,6.5,2127.0,273.0,662.2899780273438,0.0054794520547945,0.9974246657038308,-0.0025786561740606,0.0740233210197603,0.0054653406339935,0.3698595290670693,0.006172839506172844,0,1,0,0.3698595290670693,0.9957793937644726
SPY,2026-03-18,665.0,5.94,5.98,5.960000000000001,5.98,5369.0,162.0,662.2899780273438,0.0054794520547945,0.9959247789884867,-0.0040835473534808,0.0740233210197603,0.0054571220766492,0.3661953645532131,0.006711409395973159,0,1,0,0.3661953645532131,0.9937500607408363
