ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity
SPY,2026-03-17,671.0,2.07,2.1,2.085,2.1,4699.0,1192.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,672.0,1.77,1.8,1.785,1.79,5391.0,1381.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,673.0,1.5,1.53,1.515,1.55,5142.0,1765.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,674.0,1.25,1.29,1.27,1.27,3851.0,832.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,675.0,1.05,1.08,1.065,1.06,12259.0,3121.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,676.0,0.87,0.9,0.885,0.88,3727.0,1227.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,677.0,0.71,0.74,0.725,0.75,3610.0,1105.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,678.0,0.58,0.6,0.59,0.6,3373.0,1139.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,679.0,0.47,0.49,0.48,0.51,2742.0,1060.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,680.0,0.38,0.4,0.39,0.4,8772.0,2608.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,681.0,0.3,0.32,0.31,0.32,2200.0,1108.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,682.0,0.25,0.26,0.255,0.26,4019.0,1563.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,683.0,0.19,0.21,0.2,0.21,3046.0,1377.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,684.0,0.15,0.16,0.155,0.16,3708.0,1084.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,685.0,0.12,0.13,0.125,0.13,6443.0,4932.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,686.0,0.09,0.11,0.1,0.1,1750.0,1220.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,687.0,0.07,0.08,0.075,0.06,1693.0,1309.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,688.0,0.05,0.07,0.06,0.05,2719.0,2009.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,689.0,0.04,0.05,0.045,0.05,1689.0,1614.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,690.0,0.03,0.04,0.035,0.03,1872.0,2602.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,691.0,0.02,0.03,0.025,0.02,1035.0,1858.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-18,500.0,160.51,163.31,161.91,184.88,,2.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,575.0,85.66,88.46,87.06,100.58,3.0,1.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,630.0,32.65,33.1,32.875,33.37,50.0,3.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,645.0,19.38,19.75,19.565,20.14,3.0,10.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,650.0,15.44,15.74,15.59,15.71,24.0,20.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,655.0,11.85,12.13,11.99,12.32,574.0,534.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,657.0,10.61,10.71,10.66,10.65,188.0,15.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,658.0,9.95,10.05,10.0,9.98,456.0,25.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,659.0,9.33,9.42,9.375,9.39,434.0,44.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,660.0,8.73,8.77,8.75,8.76,739.0,168.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,661.0,8.13,8.18,8.155000000000001,8.15,384.0,222.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,662.0,7.56,7.6,7.58,7.58,1062.0,106.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,663.0,7.0,7.04,7.02,7.02,1259.0,199.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,664.0,6.46,6.5,6.48,6.5,2127.0,273.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,665.0,5.94,5.98,5.960000000000001,5.98,5369.0,162.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,666.0,5.44,5.48,5.460000000000001,5.49,3435.0,482.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,667.0,4.97,5.0,4.984999999999999,5.0,1864.0,634.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,668.0,4.5,4.54,4.52,4.56,1948.0,361.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,669.0,4.07,4.11,4.09,4.09,3597.0,761.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,670.0,3.65,3.69,3.67,3.67,8806.0,1322.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,671.0,3.26,3.3,3.28,3.28,3181.0,1241.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,672.0,2.89,2.92,2.905,2.92,3781.0,751.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,673.0,2.54,2.58,2.56,2.59,2056.0,855.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,674.0,2.22,2.26,2.24,2.25,2169.0,522.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,675.0,1.92,1.96,1.94,1.94,4649.0,1669.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,676.0,1.65,1.69,1.67,1.67,5430.0,1687.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,677.0,1.41,1.44,1.4249999999999998,1.44,1389.0,772.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,678.0,1.19,1.22,1.205,1.22,1668.0,943.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,679.0,0.99,1.02,1.005,1.04,2028.0,838.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,680.0,0.82,0.85,0.835,0.84,4790.0,2093.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,681.0,0.67,0.7,0.685,0.72,2054.0,1371.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,682.0,0.54,0.57,0.5549999999999999,0.58,1732.0,1086.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,683.0,0.44,0.47,0.4549999999999999,0.46,2612.0,908.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,684.0,0.35,0.38,0.365,0.38,2166.0,1087.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,685.0,0.28,0.3,0.29,0.29,3065.0,1018.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,686.0,0.22,0.24,0.2299999999999999,0.23,1995.0,1077.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,687.0,0.17,0.19,0.18,0.19,2036.0,1288.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,688.0,0.13,0.15,0.14,0.13,1832.0,965.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,689.0,0.1,0.12,0.11,0.1,1761.0,1236.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,690.0,0.08,0.09,0.0849999999999999,0.09,1473.0,1699.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,691.0,0.06,0.07,0.065,0.06,1283.0,1352.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,692.0,0.04,0.06,0.05,0.05,1544.0,3087.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,693.0,0.03,0.04,0.035,0.03,602.0,1188.0,662.2899780273438,0.005479452054794521
SPY,2026-03-18,694.0,0.02,0.03,0.025,0.04,933.0,1655.0,662.2899780273438,0.005479452054794521
SPY,2026-03-19,530.0,130.66,133.46,132.06,145.69,2.0,2.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,560.0,100.76,103.56,102.16,115.93,2.0,2.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,615.0,46.23,49.03,47.629999999999995,57.98,2.0,2.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,650.0,16.39,16.7,16.545,16.89,2014.0,227.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,655.0,12.87,13.18,13.025,13.0,665.0,1205.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,656.0,12.3,12.43,12.365,13.41,89.0,6.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,660.0,9.81,9.86,9.835,9.87,251.0,277.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,661.0,9.22,9.27,9.245,9.15,125.0,19.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,662.0,8.65,8.69,8.67,8.7,317.0,168.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,663.0,8.09,8.13,8.11,8.13,1058.0,198.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,664.0,7.55,7.59,7.57,7.58,1044.0,256.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,665.0,7.01,7.06,7.035,7.05,2514.0,836.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,666.0,6.5,6.55,6.525,6.43,1023.0,173.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,667.0,6.01,6.05,6.029999999999999,6.03,1462.0,367.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,668.0,5.53,5.58,5.555,5.79,1342.0,769.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,669.0,5.08,5.12,5.1,5.15,1538.0,637.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,670.0,4.64,4.67,4.654999999999999,4.68,5539.0,988.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,671.0,4.21,4.25,4.23,4.21,1368.0,590.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,672.0,3.81,3.85,3.83,3.85,1658.0,695.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,673.0,3.42,3.46,3.44,3.47,1558.0,1107.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,674.0,3.06,3.1,3.08,3.03,2380.0,943.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,675.0,2.71,2.76,2.735,2.75,5615.0,2472.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,676.0,2.39,2.44,2.415,2.44,1586.0,893.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,677.0,2.1,2.14,2.12,2.15,1603.0,643.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,678.0,1.82,1.86,1.84,1.86,1551.0,825.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,679.0,1.56,1.6,1.58,1.61,1223.0,1141.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,680.0,1.34,1.38,1.36,1.36,5816.0,3117.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,681.0,1.13,1.17,1.15,1.15,1599.0,1139.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,682.0,0.95,0.98,0.965,0.98,1765.0,1178.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,683.0,0.79,0.82,0.8049999999999999,0.84,1487.0,716.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,684.0,0.65,0.68,0.665,0.66,1455.0,1472.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,685.0,0.53,0.56,0.545,0.53,2772.0,2261.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,686.0,0.43,0.45,0.44,0.49,1542.0,1081.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,687.0,0.34,0.37,0.355,0.34,3161.0,1014.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,688.0,0.27,0.29,0.28,0.29,3932.0,1090.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,689.0,0.21,0.23,0.22,0.24,1675.0,1210.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,690.0,0.17,0.19,0.18,0.18,2248.0,3027.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,691.0,0.13,0.15,0.14,0.14,607.0,875.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,692.0,0.1,0.12,0.11,0.11,980.0,1479.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,693.0,0.08,0.1,0.09,0.08,1494.0,2535.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,694.0,0.07,0.08,0.075,0.07,1052.0,5301.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,695.0,0.05,0.07,0.06,0.06,1930.0,3483.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,696.0,0.04,0.06,0.05,0.06,302.0,1369.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,698.0,0.03,0.04,0.035,0.05,211.0,1366.0,662.2899780273438,0.00821917808219178
SPY,2026-03-19,700.0,0.02,0.03,0.025,0.04,311.0,4653.0,662.2899780273438,0.00821917808219178
