ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction
SPY,2026-03-17,687.0,0.07,0.08,0.075,0.06,1693.0,1309.0,662.2899780273438,0.0027397260273972,0.9640319913061772,-0.036630798919976094,0.05234239225902079,0.002641183537825085
SPY,2026-03-17,688.0,0.05,0.07,0.06,0.05,2719.0,2009.0,662.2899780273438,0.0027397260273972,0.962630782016488,-0.038085344630970436,0.05234239225902079,0.0026373446082642925
SPY,2026-03-17,689.0,0.04,0.05,0.045,0.05,1689.0,1614.0,662.2899780273438,0.0027397260273972,0.9612336400977413,-0.03953777771128537,0.05234239225902079,0.0026335168221855347
SPY,2026-03-17,690.0,0.03,0.04,0.035,0.03,1872.0,2602.0,662.2899780273438,0.0027397260273972,0.9598405478657156,-0.040988104288931806,0.05234239225902079,0.002629700131138889
SPY,2026-03-17,691.0,0.02,0.03,0.025,0.02,1035.0,1858.0,662.2899780273438,0.0027397260273972,0.9584514877385583,-0.04243633046529664,0.05234239225902079,0.0026258944869548963
SPY,2026-03-18,500.0,160.51,163.31,161.91,184.88,,2.0,662.2899780273438,0.0054794520547945,1.3245799560546876,0.28109539488018154,0.07402332101976039,0.007257972361943466
SPY,2026-03-18,575.0,85.66,88.46,87.06,100.58,3.0,1.0,662.2899780273438,0.0054794520547945,1.1518086574388586,0.14133345250502274,0.07402332101976039,0.006311280314733448
SPY,2026-03-18,630.0,32.65,33.1,32.875,33.37,50.0,3.0,662.2899780273438,0.0054794520547945,1.0512539333767361,0.04998367391679487,0.07402332101976039,0.005760295525351957
SPY,2026-03-18,645.0,19.38,19.75,19.565,20.14,3.0,10.0,662.2899780273438,0.0054794520547945,1.026806167484254,0.026453176506600777,0.07402332101976039,0.00562633516429726
SPY,2026-03-18,650.0,15.44,15.74,15.59,15.71,24.0,20.0,662.2899780273438,0.0054794520547945,1.0189076585036059,0.018731130412690547,0.07402332101976039,0.005583055663033435
SPY,2026-03-18,655.0,11.85,12.13,11.99,12.32,574.0,534.0,662.2899780273438,0.0054794520547945,1.0111297374463264,0.011068257667121377,0.07402332101976039,0.005540436917514096
SPY,2026-03-18,657.0,10.61,10.71,10.66,10.65,188.0,15.0,662.2899780273438,0.0054794520547945,1.0080517169365963,0.008019474817762797,0.07402332101976039,0.005523571051707356
SPY,2026-03-18,658.0,9.95,10.05,10.0,9.98,456.0,25.0,662.2899780273438,0.0054794520547945,1.0065197234458112,0.006498561977056065,0.07402332101976039,0.005515176566826342
SPY,2026-03-18,659.0,9.33,9.42,9.375,9.39,434.0,44.0,662.2899780273438,0.0054794520547945,1.0049923794041635,0.004979958799866041,0.07402332101976039,0.0055068075583789575
SPY,2026-03-18,660.0,8.73,8.77,8.75,8.76,739.0,168.0,662.2899780273438,0.0054794520547945,1.0034696636777936,0.003463658281902004,0.07402332101976039,0.005498463910563232
SPY,2026-03-18,661.0,8.13,8.18,8.155000000000001,8.15,384.0,222.0,662.2899780273438,0.0054794520547945,1.0019515552607319,0.001949653450686981,0.07402332101976039,0.005490145508277962
SPY,2026-03-18,662.0,7.56,7.6,7.58,7.58,1062.0,106.0,662.2899780273438,0.0054794520547945,1.000438033273933,0.0004379373653649738,0.07402332101976039,0.005481852237117421
SPY,2026-03-18,663.0,7.0,7.04,7.02,7.02,1259.0,199.0,662.2899780273438,0.0054794520547945,0.9989290769643194,-0.001071496883489222,0.07402332101976039,0.005473583983366113
SPY,2026-03-18,664.0,6.46,6.5,6.48,6.5,2127.0,273.0,662.2899780273438,0.0054794520547945,0.9974246657038309,-0.002578656174060636,0.07402332101976039,0.005465340633993574
SPY,2026-03-18,665.0,5.94,5.98,5.960000000000001,5.98,5369.0,162.0,662.2899780273438,0.0054794520547945,0.9959247789884869,-0.004083547353480885,0.07402332101976039,0.005457122076649223
SPY,2026-03-18,666.0,5.44,5.48,5.460000000000001,5.49,3435.0,482.0,662.2899780273438,0.0054794520547945,0.9944293964374531,-0.005586177238015882,0.07402332101976039,0.0054489281996572565
SPY,2026-03-18,667.0,4.97,5.0,4.984999999999999,5.0,1864.0,634.0,662.2899780273438,0.0054794520547945,0.9929384977921195,-0.007086552613250533,0.07402332101976039,0.0054407588920115935
SPY,2026-03-18,668.0,4.5,4.54,4.52,4.56,1948.0,361.0,662.2899780273438,0.0054794520547945,0.9914520629151853,-0.008584680234272458,0.07402332101976039,0.005432614043370858
SPY,2026-03-18,669.0,4.07,4.11,4.09,4.09,3597.0,761.0,662.2899780273438,0.0054794520547945,0.9899700717897515,-0.010080566825855213,0.07402332101976039,0.005424493544053412
SPY,2026-03-18,670.0,3.65,3.69,3.67,3.67,8806.0,1322.0,662.2899780273438,0.0054794520547945,0.9884925045184235,-0.011574219082638492,0.07402332101976039,0.005416397285032437
SPY,2026-03-18,671.0,3.26,3.3,3.28,3.28,3181.0,1241.0,662.2899780273438,0.0054794520547945,0.9870193413224199,-0.013065643669308588,0.07402332101976039,0.005408325157931047
SPY,2026-03-18,672.0,2.89,2.92,2.905,2.92,3781.0,751.0,662.2899780273438,0.0054794520547945,0.9855505625406901,-0.014554847220776343,0.07402332101976039,0.0054002770550174595
