contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T,bs_price,error,abs_error,rel_error
SPY260116C00595000,2026-01-02 16:52:41+00:00,595.0,86.66,89.07,89.63,-2.3799973,-2.672953,10.0,3905,0.4705863488769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,89.35,1.1481848452271537,0.0328767123287671,89.14726163908858,-0.20273836091141106,0.20273836091141106,-0.002269035936333644
SPY260116C00600000,2026-01-02 20:48:42+00:00,600.0,83.28,84.09,84.64,-1.1100006,-1.3153224,137.0,18941,0.4483697741699218,True,REGULAR,USD,2026-01-16,12,683.1699829101562,84.36500000000001,1.1386166381835938,0.0328767123287671,84.15547406552093,-0.20952593447907475,0.20952593447907475,-0.0024835646829736826
SPY260116C00605000,2026-01-02 21:05:45+00:00,605.0,79.4,79.12,79.7,-2.1800003,-2.672224,6.0,3455,0.4294490649414063,True,REGULAR,USD,2026-01-16,12,683.1699829101562,79.41,1.1292065833225724,0.0328767123287671,79.16368649372373,-0.24631350627626603,0.24631350627626603,-0.0031017945633580912
SPY260116C00610000,2026-01-02 21:05:37+00:00,610.0,74.42,74.14,74.72,-0.22000122,-0.29474977,170.0,4319,0.4075986975097656,True,REGULAR,USD,2026-01-16,12,683.1699829101562,74.43,1.119950791655994,0.0328767123287671,74.1718989419843,-0.25810105801571126,0.25810105801571126,-0.003467701975221164
SPY260116C00615000,2026-01-02 20:59:50+00:00,615.0,69.17,69.16,69.71,-2.209999,-3.0961041,88.0,2936,0.3839172937011719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,69.435,1.110845500666921,0.0328767123287671,69.1801115807541,-0.25488841924590133,0.25488841924590133,-0.0036708924785180575
SPY260116C00620000,2026-01-02 20:49:47+00:00,620.0,63.66,64.23,64.73,-1.1099968,-1.7137514,74.0,5416,0.3619448571777344,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.48,1.1018870692099294,0.0328767123287671,64.18832574273063,-0.2916742572693778,0.2916742572693778,-0.00452348413879308
SPY260116C00621000,2025-12-23 20:45:19+00:00,621.0,69.31,63.18,64.98,0.0,0.0,54.0,40,0.4172421557617187,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.08,1.100112693897192,0.0328767123287671,63.189969211852826,-0.8900307881471718,0.8900307881471718,-0.013889369353108175
SPY260116C00622000,2026-01-02 20:59:43+00:00,622.0,62.2,61.21,64.0,-7.0600014,-10.193476,28.0,28,0.412969737548828,True,REGULAR,USD,2026-01-16,12,683.1699829101562,62.605,1.0983440239713125,0.0328767123287671,62.19161314353016,-0.41338685646983464,0.41338685646983464,-0.006603096501395011
SPY260116C00623000,2025-12-26 14:53:05+00:00,623.0,69.99,60.21,62.98,0.0,0.0,40.0,45,0.4069883520507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,61.595,1.0965810319585172,0.0328767123287671,61.19325774138497,-0.4017422586150303,0.4017422586150303,-0.0065223193216175064
SPY260116C00624000,2025-12-24 16:46:43+00:00,624.0,68.67,60.21,60.77,0.0,0.0,352.0,196,0.3455875988769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,60.49,1.094823690561148,0.0328767123287671,60.194903292262666,-0.2950967077373363,0.2950967077373363,-0.004878437886218157
SPY260116C00625000,2026-01-02 20:46:22+00:00,625.0,58.69,59.21,59.84,-0.5400009,-0.91170174,36.0,3035,0.3444889770507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,59.525000000000006,1.09307197265625,0.0328767123287671,59.19655019744732,-0.32844980255268297,0.32844980255268297,-0.005517846325958554
SPY260116C00626000,2025-12-29 17:19:56+00:00,626.0,62.62,58.21,58.85,0.0,0.0,17.0,105,0.3403386279296875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,58.53,1.0913258512941792,0.0328767123287671,58.198199014442935,-0.3318009855570665,0.3318009855570665,-0.005668904588366077
SPY260116C00627000,2025-12-23 14:50:21+00:00,627.0,56.78,56.24,59.03,-4.7800026,-7.7647867,40.0,75,0.3884338500976562,True,REGULAR,USD,2026-01-16,12,683.1699829101562,57.635000000000005,1.0895852996972188,0.0328767123287671,57.19985051245874,-0.4351494875412669,0.4351494875412669,-0.007550090874317114
SPY260116C00628000,2025-12-31 14:48:57+00:00,628.0,54.49,56.25,56.8,-4.779999,-8.064786,1.0,128,0.3283758569335937,True,REGULAR,USD,2026-01-16,12,683.1699829101562,56.525,1.0878502912582106,0.0328767123287671,56.201505745519626,-0.32349425448037294,0.32349425448037294,-0.0057230297121693575
SPY260116C00630000,2026-01-02 19:07:56+00:00,630.0,52.67,54.25,54.86,-2.210003,-4.0269732,85.0,3788,0.3219061950683593,True,REGULAR,USD,2026-01-16,12,683.1699829101562,54.555,1.0843967982700893,0.0328767123287671,54.20483365882285,-0.3501663411771503,0.3501663411771503,-0.006418593001139223
SPY260116C00631000,2026-01-02 20:56:52+00:00,631.0,52.65,53.27,53.86,-9.919998,-15.854241,40.0,201,0.3171455004882812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,53.565,1.0826782613473158,0.0328767123287671,53.20651088050681,-0.3584891194931856,0.3584891194931856,-0.0066926000092072365
SPY260116C00633000,2025-12-29 14:35:05+00:00,633.0,57.04,50.31,53.08,0.0,0.0,40.0,94,0.3591372680664062,True,REGULAR,USD,2026-01-16,12,683.1699829101562,51.695,1.0792574769512735,0.0328767123287671,51.209909462530504,-0.48509053746949604,0.48509053746949604,-0.0093837032105522
SPY260116C00634000,2026-01-02 20:59:04+00:00,634.0,50.25,49.31,52.11,-7.279999,-12.654265,40.0,26,0.3550479534912109,True,REGULAR,USD,2026-01-16,12,683.1699829101562,50.71,1.0775551780917292,0.0328767123287671,50.211641462977695,-0.49835853702230537,0.49835853702230537,-0.009827618556937593
SPY260116C00635000,2026-01-02 20:08:23+00:00,635.0,49.64,49.29,49.93,-0.13000107,-0.26120368,32.0,4420,0.3013985876464844,True,REGULAR,USD,2026-01-16,12,683.1699829101562,49.61,1.0758582408033956,0.0328767123287671,49.213405181800226,-0.39659481819977316,0.39659481819977316,-0.007994251525897464
SPY260116C00636000,2025-12-26 14:53:41+00:00,636.0,57.26,48.34,48.87,0.0,0.0,40.0,765,0.293830303955078,True,REGULAR,USD,2026-01-16,12,683.1699829101562,48.605,1.0741666397958431,0.0328767123287671,48.2152108671977,-0.3897891328022993,0.3897891328022993,-0.008019527472529561
SPY260116C00638000,2025-12-24 16:32:22+00:00,638.0,54.53,45.36,48.16,0.0,0.0,40.0,47,0.3357610369873046,True,REGULAR,USD,2026-01-16,12,683.1699829101562,46.76,1.0707993462541634,0.0328767123287671,46.21900468056435,-0.5409953194356447,0.5409953194356447,-0.01156961760982987
SPY260116C00639000,2026-01-02 20:57:15+00:00,639.0,44.73,44.38,47.15,-4.549999,-9.232953,32.0,9,0.3300848242187499,True,REGULAR,USD,2026-01-16,12,683.1699829101562,45.765,1.069123603928257,0.0328767123287671,45.221031232122414,-0.5439687678775869,0.5439687678775869,-0.011886130621164358
SPY260116C00640000,2026-01-02 20:52:30+00:00,640.0,44.23,44.39,44.94,-0.61999893,-1.3823835,66.0,16668,0.2776561492919921,True,REGULAR,USD,2026-01-16,12,683.1699829101562,44.665,1.067453098297119,0.0328767123287671,44.22317855762947,-0.4418214423705322,0.4418214423705322,-0.009891893929710785
SPY260116C00641000,2026-01-02 20:49:16+00:00,641.0,42.65,43.41,43.98,-6.459999,-13.154141,2.0,168,0.2745433874511719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,43.69499999999999,1.0657878048520375,0.0328767123287671,43.22548075694908,-0.469519243050911,0.469519243050911,-0.010745376886392289
SPY260116C00642000,2025-12-30 15:40:46+00:00,642.0,46.75,42.42,43.0,0.0,0.0,2.0,172,0.2704540728759765,True,REGULAR,USD,2026-01-16,12,683.1699829101562,42.71,1.0641276992370037,0.0328767123287671,42.227980335911866,-0.4820196640881349,0.4820196640881349,-0.01128587366162807
