contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T
SPY260116C00636000,2025-12-26 14:53:41+00:00,636.0,57.26,48.34,48.87,0.0,0.0,40.0,765,0.293830303955078,True,REGULAR,USD,2026-01-16,12,683.1699829101562,48.605000000000004,1.0741666397958431,0.03287671232876712
SPY260116C00638000,2025-12-24 16:32:22+00:00,638.0,54.53,45.36,48.16,0.0,0.0,40.0,47,0.3357610369873046,True,REGULAR,USD,2026-01-16,12,683.1699829101562,46.76,1.0707993462541634,0.03287671232876712
SPY260116C00639000,2026-01-02 20:57:15+00:00,639.0,44.73,44.38,47.15,-4.549999,-9.232953,32.0,9,0.3300848242187499,True,REGULAR,USD,2026-01-16,12,683.1699829101562,45.765,1.069123603928257,0.03287671232876712
SPY260116C00640000,2026-01-02 20:52:30+00:00,640.0,44.23,44.39,44.94,-0.61999893,-1.3823835,66.0,16668,0.2776561492919921,True,REGULAR,USD,2026-01-16,12,683.1699829101562,44.665,1.067453098297119,0.03287671232876712
SPY260116C00641000,2026-01-02 20:49:16+00:00,641.0,42.65,43.41,43.98,-6.459999,-13.154141,2.0,168,0.2745433874511719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,43.69499999999999,1.0657878048520377,0.03287671232876712
SPY260116C00642000,2025-12-30 15:40:46+00:00,642.0,46.75,42.42,43.0,0.0,0.0,2.0,172,0.2704540728759765,True,REGULAR,USD,2026-01-16,12,683.1699829101562,42.71,1.0641276992370035,0.03287671232876712
SPY260116C00644000,2026-01-02 20:59:49+00:00,644.0,40.5,40.45,41.04,-4.299999,-9.598212,82.0,1002,0.2622144091796875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,40.745000000000005,1.0608229548294352,0.03287671232876712
SPY260116C00645000,2026-01-02 19:46:17+00:00,645.0,39.6,39.48,40.06,-1.4600029,-3.5557792,7.0,8151,0.2580640600585938,True,REGULAR,USD,2026-01-16,12,683.1699829101562,39.769999999999996,1.0591782680777617,0.03287671232876712
SPY260116C00647000,2026-01-02 20:54:44+00:00,647.0,37.19,37.5,38.11,-1.050003,-2.7458239,30.0,344,0.2500685345458984,True,REGULAR,USD,2026-01-16,12,683.1699829101562,37.805,1.0559041466926682,0.03287671232876712
SPY260116C00648000,2026-01-02 20:56:43+00:00,648.0,35.92,35.56,38.35,-4.710003,-11.592426,32.0,51,0.2881540911865233,True,REGULAR,USD,2026-01-16,12,683.1699829101562,36.955,1.054274664984809,0.03287671232876712
SPY260116C00649000,2025-12-26 19:45:25+00:00,649.0,43.61,34.59,37.37,0.0,0.0,42.0,51,0.2832102929687499,True,REGULAR,USD,2026-01-16,12,683.1699829101562,35.980000000000004,1.0526502047922284,0.03287671232876712
SPY260116C00650000,2026-01-02 20:28:53+00:00,650.0,35.01,34.79,35.16,-0.11000061,-0.3132136,126.0,29571,0.236763003540039,True,REGULAR,USD,2026-01-16,12,683.1699829101562,34.974999999999994,1.051030742938702,0.03287671232876712
SPY260116C00651000,2026-01-02 20:57:58+00:00,651.0,33.15,32.66,35.43,-9.199997,-21.723724,32.0,17,0.2739330419921875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,34.045,1.049416256390409,0.03287671232876712
